investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,cohort_year,previous_date,gap_days,status
INV000001,2024-11-04,120505,Sip,44856,Haryana,Gurugram,T30,36-45,Male,19.9,UPI,Verified,2024,,,Active
INV000001,2025-01-19,125497,Sip,3090,Haryana,Gurugram,T30,36-45,Male,19.9,Cheque,Pending,2024,2024-11-04,76.0,At Risk
INV000002,2024-03-29,149322,Sip,2830,Maharashtra,Pune,T30,46-55,Male,24.0,Mandate,Verified,2024,,,Active
INV000002,2024-09-21,120841,Sip,2354,Maharashtra,Pune,T30,46-55,Male,24.0,Mandate,Verified,2024,2024-03-29,176.0,At Risk
INV000002,2025-05-17,119094,Sip,2690,Maharashtra,Pune,T30,46-55,Male,24.0,Cheque,Verified,2024,2024-09-21,238.0,At Risk
INV000003,2024-07-16,101207,Sip,2676,Gujarat,Ahmedabad,T30,26-35,Female,10.6,Mandate,Verified,2024,,,Active
INV000003,2025-03-11,149322,Sip,15185,Gujarat,Ahmedabad,T30,26-35,Female,10.6,Mandate,Verified,2024,2024-07-16,238.0,At Risk
INV000004,2024-03-16,101208,Sip,960,Punjab,Chandigarh,T30,26-35,Male,20.0,UPI,Verified,2024,,,Active
INV000004,2024-04-11,119095,Sip,20602,Punjab,Chandigarh,T30,26-35,Male,20.0,Net Banking,Verified,2024,2024-03-16,26.0,Active
INV000004,2024-05-09,120844,Sip,541,Punjab,Chandigarh,T30,26-35,Male,20.0,Mandate,Verified,2024,2024-04-11,28.0,Active
INV000004,2024-07-07,148569,Sip,9761,Punjab,Chandigarh,T30,26-35,Male,20.0,UPI,Verified,2024,2024-05-09,59.0,At Risk
INV000004,2025-03-29,149324,Sip,14282,Punjab,Chandigarh,T30,26-35,Male,20.0,Mandate,Verified,2024,2024-07-07,265.0,At Risk
INV000004,2025-05-17,119599,Sip,2110,Punjab,Chandigarh,T30,26-35,Male,20.0,UPI,Verified,2024,2025-03-29,49.0,At Risk
INV000005,2024-09-13,149323,Sip,8203,Punjab,Amritsar,B30,26-35,Female,10.4,UPI,Verified,2024,,,Active
INV000005,2024-10-02,148569,Sip,599,Punjab,Amritsar,B30,26-35,Female,10.4,UPI,Verified,2024,2024-09-13,19.0,Active
INV000005,2024-10-11,120504,Sip,48844,Punjab,Amritsar,B30,26-35,Female,10.4,Net Banking,Pending,2024,2024-10-02,9.0,Active
INV000006,2024-01-02,118633,Sip,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified,2024,,,Active
INV000006,2024-02-07,102885,Sip,8440,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified,2024,2024-01-02,36.0,At Risk
INV000006,2024-06-06,100033,Sip,1059,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Pending,2024,2024-02-07,120.0,At Risk
INV000006,2025-03-28,120505,Sip,27564,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,UPI,Verified,2024,2024-06-06,295.0,At Risk
INV000006,2025-05-11,148568,Sip,2925,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,UPI,Verified,2024,2025-03-28,44.0,At Risk
INV000007,2024-01-03,119094,Sip,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,Verified,2024,,,Active
INV000007,2024-05-19,118632,Sip,1906,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,UPI,Verified,2024,2024-01-03,137.0,At Risk
INV000007,2024-06-01,149322,Sip,49792,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Cheque,Verified,2024,2024-05-19,13.0,Active
INV000007,2024-11-25,120843,Sip,14263,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Net Banking,Pending,2024,2024-06-01,177.0,At Risk
INV000007,2025-02-24,118632,Sip,2856,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,UPI,Verified,2024,2024-11-25,91.0,At Risk
INV000008,2024-05-27,101206,Sip,8061,Punjab,Amritsar,B30,26-35,Female,18.6,Cheque,Verified,2024,,,Active
INV000008,2024-06-23,102887,Sip,55850,Punjab,Amritsar,B30,26-35,Female,18.6,Net Banking,Verified,2024,2024-05-27,27.0,Active
INV000008,2024-12-05,100025,Sip,425,Punjab,Amritsar,B30,26-35,Female,18.6,UPI,Verified,2024,2024-06-23,165.0,At Risk
INV000008,2025-01-18,119552,Sip,458,Punjab,Amritsar,B30,26-35,Female,18.6,Cheque,Verified,2024,2024-12-05,44.0,At Risk
INV000008,2025-02-11,100025,Sip,2806,Punjab,Amritsar,B30,26-35,Female,18.6,UPI,Verified,2024,2025-01-18,24.0,Active
INV000008,2025-05-14,148567,Sip,5253,Punjab,Amritsar,B30,26-35,Female,18.6,UPI,Verified,2024,2025-02-11,92.0,At Risk
INV000009,2024-02-20,119093,Sip,28650,Haryana,Gurugram,T30,26-35,Male,17.1,Cheque,Verified,2024,,,Active
INV000009,2024-05-20,149324,Sip,53617,Haryana,Gurugram,T30,26-35,Male,17.1,UPI,Verified,2024,2024-02-20,90.0,At Risk
INV000009,2024-10-29,148569,Sip,3591,Haryana,Gurugram,T30,26-35,Male,17.1,UPI,Pending,2024,2024-05-20,162.0,At Risk
INV000009,2024-11-02,148567,Sip,11780,Haryana,Gurugram,T30,26-35,Male,17.1,Cheque,Verified,2024,2024-10-29,4.0,Active
INV000010,2024-04-11,120506,Sip,2855,Maharashtra,Pune,T30,36-45,Male,13.6,Mandate,Verified,2024,,,Active
INV000010,2024-08-28,119598,Sip,8464,Maharashtra,Pune,T30,36-45,Male,13.6,Net Banking,Verified,2024,2024-04-11,139.0,At Risk
